Entity,Year,Land use change,Farm,Animal feed,Processing,Transport,Retail,Packaging,Losses
Apples,2018,-0.028951464,0.22581576,0,0.003820138,0.095804475,0.016577622,0.04452641,0.07080787
Bananas,2018,-0.025533872,0.26961836,0,0.06014592,0.29583037,0.020980708,0.06567028,0.17518462
Barley,2018,0.00867555,0.17637672,0,0.1277026,0.035351165,0.26358712,0.4967864,0.07069195
Beef (beef herd),2018,23.237535,56.22806,2.6809785,1.811083,0.4941246,0.23353784,0.35208446,14.439998
Beef (dairy herd),2018,1.2660223,21.91553,3.5036733,1.5476644,0.5924098,0.2540323,0.3745491,3.8475146
Beet Sugar,2018,0.0000519,0.5357213,0,0.24188545,0.6285439,0.039322365,0.09028904,0.27626252
Berries & Grapes,2018,0.024600998,0.7178481,0,0,0.23639177,0.017056879,0.21109232,0.3248951
Brassicas,2018,0.002242361,0.27774537,0,0,0.09464088,0.016843896,0.04530306,0.07778087
Cane Sugar,2018,1.2630405,0.49126986,0,0.037380975,0.7945103,0.036723007,0.08427718,0.4917223
Cassava,2018,0.58943564,0.21999362,0,0,0.0935974,0.039322365,0.04482198,0.32850394
Cheese,2018,4.4674764,13.095539,2.3530576,0.7403863,0.13855666,0.33333775,0.17209093,2.5771365
Citrus Fruit,2018,-0.14595366,0.30673254,0,0,0.093855314,0.016685298,0.044735126,0.07157008
Coffee,2018,3.8187985,10.75444,0,0.61318517,0.13452813,0.052486792,1.6874963,11.466971
Dark Chocolate,2018,25.814833,6.687002,0,0.3337439,0.1108714,0.037652217,0.7224336,12.940208
Eggs,2018,0.71038127,1.3196366,2.2050123,0,0.08406393,0.03561594,0.16143735,0.15332346
Fish (farmed),2018,1.1947172,8.056115,1.8344203,0.04459863,0.24795863,0.08997562,0.13753739,2.0271227
Groundnuts,2018,0.4851524,1.5759542,0,0.41091752,0.13259722,0.046872605,0.109439865,0.46907976
Lamb & Mutton,2018,0.648247,27.02575,3.2831702,1.5395962,0.6788543,0.30081406,0.34760362,5.8982344
Maize,2018,0.47516903,0.7172744,0,0.07831917,0.090377115,0.039313,0.09026754,0.21079122
Milk,2018,0.5122225,1.508862,0.24381407,0.15418904,0.0932354,0.26514977,0.100180455,0.2740663
Nuts,2018,-3.257812,3.3744068,0,0.051419526,0.10673449,0.04263857,0.12374754,-0.007999532
Oatmeal,2018,0.001931697,1.8723737,0,0.057838235,0.09127615,0.039322365,0.09028904,0.32741836
Olive Oil,2018,-0.3236843,3.672172,0,0.5671888,0.41411418,0.039322365,0.7401167,0.31564602
Onions & Leeks,2018,0.004808972,0.211039,0,0,0.094781876,0.039249707,0.044784978,0.102098525
Other Fruit,2018,0.1270353,0.37257898,0,0.015557815,0.18316495,0.016432177,0.041961204,0.2960216
Other Pulses,2018,0.033302445,1.0887148,0,0,0.09617697,0.039322365,0.35322997,0.17563304
Other Vegetables,2018,0.001180576,0.17617308,0,0.06040515,0.16554974,0.015135273,0.041747507,0.071981326
Palm Oil,2018,2.7555852,1.875132,0,1.1253257,0.18511687,0.038737673,0.78810805,0.5487651
Peas,2018,0.000118777,0.71716,0,0,0.09506709,0.039322365,0.04482198,0.078590736
Pig Meat,2018,2.2440686,2.4770977,4.298476,0.41584185,0.50126386,0.27809602,0.43228632,1.6585511
Potatoes,2018,-0.001315101,0.19308342,0,0,0.09386716,0.039243545,0.044549376,0.09070571
Poultry Meat,2018,3.5084288,0.9278218,2.452357,0.6073727,0.3810783,0.24397661,0.29270238,1.452086
Rapeseed Oil,2018,0.19557476,2.15663,0,0.17787531,0.17514718,0.042540886,0.7766378,0.24326657
Rice,2018,-0.02187964,3.5539536,0,0.065220036,0.09561911,0.06336215,0.0838539,0.61151665
Root Vegetables,2018,0.013389332,0.15399402,0,0,0.11376966,0.038855214,0.04466214,0.06160968
Shrimps (farmed),2018,0.33056307,13.453979,4.0299387,0,0.33085158,0.3523611,0.5361473,7.832022
Soy milk,2018,0.17997183,0.09276804,0,0.1625091,0.10983519,0.27017248,0.09839521,0.06152727
Soybean Oil,2018,2.8661838,1.406294,0,0.2877758,0.2769503,0.039402757,0.78606844,0.6617964
Sunflower Oil,2018,0.12242101,1.976378,0,0.21071443,0.18454225,0.039322365,0.7844647,0.2816357
Tofu,2018,0.9582296,0.49470147,0,0.7938845,0.17692529,0.27017248,0.17736058,0.29047042
Tomatoes,2018,0.37298727,0.7054468,0,0.012381556,0.17711078,0.01669153,0.14567137,0.6584174
Wheat & Rye,2018,0.09713003,0.82030016,0,0.21012877,0.12544097,0.05604907,0.086838976,0.1779351
Wine,2018,-0.061264314,0.6260269,0,0.13862641,0.093284145,0.039322365,0.7492315,0.20353575